PB frameset,,Example,Gloss,Sensekey,Babel Synset,Cluster,N°,Syntactic deviation,Argument info,Prototypicality,Lemmas
pb:grope.01, zz, He made some sexual advances at the woman in his office and groped her repeatedly, Fondle for sexual pleasure, grope%2:35:02, bn:00089064v, TOUCH,228, , , x, grope
pb:delete.01, , Who erased the files form my hard disk?, Wipe out digitally or magnetically recorded information, delete%2:32:00, bn:00086518v, CANCEL ELIMINATE,491, , ,2, erase   � delete   � efface
pb:close.01, m, The windows closed with a loud bang, Become closed, close%2:35:06, bn:00085163v, CLOSE,212, -agent, , , close   � shut
pb:constitute.01, , This money is my only income, Form or compose, constitute%2:42:00, bn:00083187v, REPRESENT,341, , , x, comprise   � be   � constitute  � make up  � represent
pb:fix.01, m, Get the children ready for school!, Make ready or suitable or equip in advance for a particular purpose or for some use event etc, fix%2:30:03, bn:00088250v, PREPARE,337, , ,1, prepare   � set   � gear up  � ready   � set up
pb:cast.03, , cast a bronze sculpture, Form by pouring (e.g. wax or hot metal) into a cast or mold, cast%2:36:00, bn:00084630v, CREATE MATERIALIZE ,382, , material (wax bn:00080707n) (metal bn:00054550n),1, cast   � mold  � mould
pb:gush.02, m, Water jetted forth, Issue in a jet; come out in a jet; stream or spring forth, gush%2:35:00, bn:00089128v, SHOOT LAUNCH PROPEL,202, -agent, , , gush   � jet
pb:force.01, m, NO EXAMPLE, Urge or force (a person) to an action; constrain or motivate, force%2:36:00, bn:00088455v, PERSUADE,86, , , , force   � impel
pb:wonder.01, , I wonder whether this was the right thing to do, Place in doubt or express doubtful speculation, wonder%2:32:01, bn:00092265v, THINK,96, , , x, wonder  � question
pb:disburse.01, , NO EXAMPLE, Expend as from a fund, disburse%2:40:00, bn:00086901v, PAY,306, , , x, disburse  � pay out
pb:hit.01, zc, He smashed a 3-run homer, Hit hard, boom%2:35:00, bn:00083562v, HIT,92, , , x, smash  � blast   � boom   � nail
pb:down.02, c, He downed three martinis before dinner, Drink down entirely, down%2:34:00, bn:00083396v, DRINK,48, , , x, belt down  � bolt down  � down   � drink down  � kill
pb:explore.01, m, NO EXAMPLE, Examine minutely, explore%2:31:02, bn:00087883v, ANALYZE,176, , , , explore
pb:imitate.01, , NO EXAMPLE, Make a reproduction or copy of, imitate%2:36:03, bn:00089594v, WRITE,327, , , x, imitate
pb:recommend.01, zc, The travel agent recommended strongly that we not travel on Thanksgiving Day, Push for something, urge%2:32:03, bn:00082418v, PROPOSE,227, , ,2, urge  � advocate  � recommend
pb:stare.01, , The students stared at the teacher with amazement, Look at with fixed eyes, stare%2:39:00, bn:00088705v, LOOK,132, , ,1, gaze   � stare
pb:throb.01, , NO EXAMPLE, Tremble convulsively as from fear or excitement, throb%2:38:00, bn:00093639v, MOVE ONESELF,30, , , , shiver    � shudder  � thrill   � throb   � tremble
pb:hurl.01, zc, NO EXAMPLE, Throw forcefully, hurtle%2:35:00, bn:00084627v, THROW,234, , , x, cast   � hurl  � hurtle
pb:doff.01, , He doffed his hat, Remove, doff%2:35:00, bn:00087141v, REMOVE TAKE AWAY KIDNAPP,239, , , x, doff
pb:spy.01, , NO EXAMPLE, Catch sight of, spy%2:39:00, bn:00086664v, SEE,521, , , , spy  � descry  � espy  � spot
pb:nab.01, , the police nabbed the suspected criminals, Take into custody, nab%2:35:00, bn:00082728v, REMOVE TAKE AWAY KIDNAPP,239, , , x, apprehend   � arrest   � collar   � cop   � nab
pb:range.01, , The gypsies roamed the woods, Move about aimlessly or without any destination often in search of food or employment, range%2:38:00, bn:00084629v, TRAVEL,175, , , x, wander   � drift   � ramble  � roam   � rove
pb:crowd.01, m, men in straw boaters and waxed mustaches crowded the verandah, To gather together in large numbers, crowd%2:38:00, bn:00086092v, GROUP,321, , , x, crowd   � crowd together
pb:remark.01, , She observed that his presentation took up too much time, Make mention of, remark%2:32:00, bn:00090740v, SPEAK,9, , , , observe   � mention   � note   � remark
pb:stabilize.01, , The drug stabilized her blood pressure, Make stable and keep from fluctuating or put into an equilibrium, stabilize%2:30:01, bn:00094238v, STABILIZE SUPPORT PHYSICALLY,207, , , , stabilize  � stabilise
pb:cycle.01, , NO EXAMPLE, Ride a bicycle, cycle%2:38:01, bn:00083471v, MOVE BY MEANS OF,242, , iInstrument (bicycle bn:00010248n), x, bike  � cycle   � bicycle   � pedal   � wheel
pb:bridge.01, , NO EXAMPLE, Connect or reduce the distance between, bridge%2:42:00, bn:00084042v, JOIN CONNECT,580, , , , bridge   � bridge over
pb:pollute.01, , The industrial wastes polluted the lake, Make impure, pollute%2:30:00, bn:00085700v, DIRTY,437, , , x, pollute  � contaminate  � foul
pb:star.01, m, NO EXAMPLE, Be the star in a performance, star%2:36:00, bn:00094295v, PERFORM,14, , , , star
pb:carry.01, m, This land will carry ten cows to the acre, Be able to feed, carry%2:34:01, bn:00084584v, FEED,90, , , , carry
pb:purge.01, , purge the water, Rid of impurities, purge%2:30:00, bn:00092185v, WASH CLEAN,155, , , x, purge
pb:plan.01, m, He plans to be in graduate school next year, Have the will and intention to carry out some action, plan%2:31:01, bn:00083196v, REQUIRE NEED WANT HOPE,32, , , , plan   � be after
pb:prepare.02, , Get the children ready for school!, Make ready or suitable or equip in advance for a particular purpose or for some use event etc, prepare%2:30:00, bn:00088250v, PREPARE,337, , ,1, prepare   � set   � gear up  � ready   � set up
pb:shake.01, m, his hands shook, Move with or as if with a tremor, shake%2:29:00, bn:00086781v, MOVE ONESELF,30, , , x, shake   � didder
pb:get.04, c, Get me those books over there please, Go or come after and bring or take back, get%2:35:03, bn:00084061v, BRING,60, , ,1, fetch   � get  � bring   � convey
pb:spatter.01, m, The baby spattered the bib with food, Spot splash or soil, spatter%2:35:01, bn:00083435v, DIRTY,437, , , x, bespatter  � spatter
pb:clamp.01, , clamp the chair together until the glue has hardened, Fasten or fix with a clamp, clamp%2:35:00, bn:00085025v, SECURE FASTEN TIE,206, , iInstrument (clamp bn:00019425n), x, clamp
pb:administer.01, m, administer critical remarks to everyone present, Administer or bestow as in small portions, administer%2:40:00, bn:00082364v, GIVE GIFT,189, , ,2, distribute    � parcel out  � administer   � deal   � dispense
pb:agree.01, m, She agreed to all my conditions, Consent or assent to a condition or agree to do something, agree%2:32:01, bn:00082476v, AGREE,25, , , x, agree
pb:deliver.01, , our local super market delivers, Bring to a destination make a delivery, deliver%2:35:00, bn:00086531v, CARRY TRANSPORT,3, -source, iPatient (grocery bn:00035671n) , , deliver
pb:amalgamate.01, , resourcefully he mingled music and dance, To bring or combine together or with something else, amalgamate%2:35:00, bn:00082565v, COMBINE MIX UNITE,434, , ,2,  amalgamate  � commix  � mingle   � mix   � unify
pb:deprive.01, zc, The Nazis stripped the Jews of all their assets, Take away possessions from someone, strip%2:40:03, bn:00086636v, STEAL DEPRIVE,301, , ,2, deprive   � divest   � strip
pb:confer.02, c, The university conferred a degree on its most famous former student who never graduated, Present, confer%2:40:00, bn:00083445v, GIVE GIFT,189, , ,1, bestow   � confer
pb:stabilize.01, , "brace your elbows while working on the potters wheel", Support or hold steady and make steadfast with or as if with a brace, stabilize%2:35:02, bn:00083855v, STABILIZE SUPPORT PHYSICALLY,207, , iInstrument (brace bn:00012595n), x, brace   � stabilise  � stabilize  � steady
pb:park.01, m, Park the car in front of the library, Maneuver a vehicle into a parking space, park%2:38:00, bn:00091440v, MOVE SOMETHING,153, -source, , , park
pb:soften.01, m, soften a shock, Lessen in force or effect, soften%2:30:02, bn:00083918v, WEAKEN,445, , ,2, weaken   � break   � damp   � dampen  � soften
pb:forward.01, , forward my mail, Send or ship onward from an intermediate post or station in transit, forward%2:38:00, bn:00088506v, SEND,83, +source, iSource (post bn:00074049n), x, forward  � send on
pb:favor.01, m, he favors his second daughter, Promote over another, favor%2:41:00, bn:00088060v, LIKE,344, , ,1, prefer   � favor   � favour
pb:value.01, m, I respect his judgement, Regard highly; think much of, value%2:31:01, bn:00087736v, LIKE,344, , ,2, esteem  � prize  � respect  � value  � prise
pb:leach.01, m, leach the soil, Remove substances from by a percolating liquid, leach%2:30:00, bn:00090242v, REMOVE TAKE AWAY KIDNAPP,239, , , x, leach   � strip
pb:thin.01, , NO EXAMPLE, Lose thickness; become thin or thinner, thin%2:30:00, bn:00094902v, REDUCE DIMINISH,241, , IAttribute (thickness bn:00076908n), , thin
pb:disrobe.01, zc, "please dont undress in front of everybody!", Get undressed, peel%2:29:02, bn:00086903v, REMOVE TAKE AWAY KIDNAPP,239, , iPatient (dress bn:00005007n), , discase  � disrobe   � peel   � strip   � strip down
pb:sweep.01, m, Please sweep the floor, Clean by sweeping, sweep%2:35:01, bn:00094660v, WASH CLEAN,155, , , x, sweep
pb:siphon.01, m, siphon gas into the tank, Move a liquid from one container into another by means of a siphon or a siphoning action, siphon%2:35:00, bn:00093775v, MOVE SOMETHING,153, , patient (liquid bn:00051473n), , siphon
pb:prepare.01, m, machinate a plot, Arrange by systematic planning and united effort, prepare%2:36:00, bn:00086753v, ORGANIZE,188, , , , organize  � devise  � get up  � machinate  � organise
pb:launch.01, m, launch a career, Get going; give impetus to, launch%2:35:04, bn:00090217v, BEGIN,46, , ,1, launch   � set in motion
pb:sail.01, m, We sailed the Atlantic, Traverse or travel on (a body of water), sail%2:38:03, bn:00093229v, TRAVEL,175, , , x, sail  � boat  � navigate
pb:launch.01, m, He launched into a long diatribe, Begin with vigor, launch%2:30:10, bn:00090216v, BEGIN,46, , ,1, launch   � plunge
pb:stuff.01, m, stuff a pillow with feathers, Fill tightly with a material, stuff%2:30:02, bn:00094504v, FILL,421, , , x, stuff
pb:cock.01, zz, NO EXAMPLE, Set the trigger of a firearm back for firing, cock%2:35:00, bn:00085241v, ADJUST CORRECT ,91, , , , cock
pb:pilot.01, , The pilot flew to Cuba, Operate an airplane, pilot%2:38:00, bn:00082957v, MOVE BY MEANS OF,242, , iInstrument (sledge bn:00072096n), x, aviate  � fly   � pilot
pb:starve.01, m, They starved the prisoners, Deprive of food, starve%2:34:03, bn:00088029v, HURT HARM ACHE,431, , , , starve  � famish
pb:extract.01, m, pull weeds, Remove usually with some force or effort; also used in an abstract sense, extract%2:35:04, bn:00087277v, REMOVE TAKE AWAY KIDNAPP,239, , , x, extract   � pull   � pull out  � take out  � draw out
pb:dine.01, , We often dine with friends in this restaurant, Have supper; eat dinner, dine%2:34:01, bn:00086843v, EAT BITE,51, , iPatient (dinner bn:00027206n),1, dine
pb:halt.01, m, the car stopped, Come to a halt stop moving, halt%2:38:01, bn:00089154v, STOP,29, -patient -instrument, , , stop  � halt
pb:smother.01, , Othello smothered Desdemona with a pillow, Deprive of oxygen and prevent from breathing, smother%2:35:00, bn:00082831v, KILL,62, , , x, asphyxiate  � smother  � suffocate
pb:stick.01, m, stick the corner of the sheet under the mattress, Fasten into place by fixing an end or point into something, stick%2:35:10, bn:00094356v, SECURE FASTEN TIE,206, , , x, stick
pb:beat.01, m, "beat ones breast", "Strike (a part of ones own body) repeatedly as in great emotion or in accompaniment to music", beat%2:35:10, bn:00083257v, HIT,92, , patient (body part bn:00011769n), x, beat
pb:state.01, , He said that he wanted to marry her, Express in words, state%2:32:00, bn:00093287v, SPEAK,9, , , x, say  � tell   � state
pb:throb.01, , "The babys heart was pulsating again after the surgeon massaged it", Expand and contract rhythmically; beat rhythmically, throb%2:38:01, bn:00092159v, MOVE ONESELF,30, , , x, pulsate   � pulse   � throb
pb:respect.01, , I respect his judgement, Regard highly; think much of, respect%2:31:00, bn:00087736v, LIKE,344, , ,2, esteem  � prize  � respect  � value  � prise
pb:prick.01, m, A bee stung my arm yesterday, Deliver a sting to, prick%2:35:03, bn:00083518v, HURT HARM ACHE,431, , , , bite   � prick   � sting
pb:impound.01, m, The FBI seized the drugs, Take temporary possession of as a security by legal authority, impound%2:40:00, bn:00082897v, REMOVE TAKE AWAY KIDNAPP,239, , , x, confiscate  � impound  � seize  � sequester  � attach
pb:shorten.01, m, The manuscript must be shortened, Reduce in scope while retaining essential elements, shorten%2:30:02, bn:00082127v, DECREASE,428, , ,1, foreshorten  � abridge   � abbreviate   � contract   � cut
pb:seesaw.01, m, NO EXAMPLE, Move up and down as if on a seesaw, seesaw%2:38:00, bn:00093460v, TRAVEL,175, , , , seesaw
pb:excite.01, m, NO EXAMPLE, Arouse or elicit a feeling, excite%2:37:02, bn:00087806v, AROUSE WAKE ENLIVEN,435, , , , excite
pb:dodge.01, , "The child dodged the teachers blow", Make a sudden movement in a new direction so as to avoid, dodge%2:38:00, bn:00087139v, ABSTAIN AVOID REFRAIN,260, , ,2, dodge
pb:pressure.01, m, He squeezed her for information, """To cause to do through pressure or necessity by physical moral or intellectual means :""""She forced him to take a job in the city""""""", pressure%2:41:00, bn:00085252v, OBLIGE FORCE,50, , ,1, pressure  � coerce  � force  � hale  � squeeze
pb:require.01, m, It takes nerve to do what she did, Require as useful just or proper, require%2:42:00, bn:00082822v, REQUIRE NEED WANT HOPE,32, , , , necessitate  � ask   � call for  � demand   � involve
pb:pasture.01, , NO EXAMPLE, Let feed in a field or pasture or meadow, pasture%2:35:10, bn:00086061v, FEED,90, , iPatient (grass bn:00041433n); beneficiary (animal bn:00004222n), x, pasture   � graze  � crop
pb:snivel.01, m, NO EXAMPLE, Talk in a tearful manner, snivel%2:32:00, bn:00093981v, SPEAK,9, , , x, whine  � snivel
pb:reassemble.01, , NO EXAMPLE, Assemble once again after taking something apart, reassemble%2:36:00, bn:00092458v, MOUNT ASSEMBLE PRODUCE,483, , , x, reassemble
pb:antique.01, , We went antiquing on Saturday, Shop for antiques, antique%2:40:00, bn:00082673v, BUY,185, , iPatient (antique bn:00004731n), x, antique
pb:face.01, zz, The building was faced with beautiful stones, Cover the front or surface of, face%2:35:01, bn:00087947v, COVER SPREAD SURMOUNT,249, , , x, face
pb:oil.02, m, NO EXAMPLE, Administer an oil or ointment to ; often in a religious ceremony of blessing, oil%2:29:00, bn:00082609v, GIVE GIFT,189, , iPatient (ointment bn:00023634n), , anoint   � anele  � embrocate  � inunct  � oil
pb:seal.01, , She sealed the letter with hot wax, Close with or as if with a seal, seal%2:35:00, bn:00093406v, CLOSE,212, , iInstrument (seal bn:00070012n), x, seal
pb:swindle.01, , He swindled me out of my inheritance, Deprive of by deceit, swindle%2:41:00, bn:00084240v, STEAL DEPRIVE,301, , ,2, con   � defraud   � hornswoggle   � swindle   � bunco
pb:macerate.01, m, the tissue macerated in the water, Become soft or separate and disintegrate as a result of excessive soaking, macerate%2:30:02, bn:00090535v, DESTROY,134, , ,1, macerate
pb:integrate.01, m, She incorporated his suggestions into her proposal, Make into a whole or make part of a whole, integrate%2:30:00, bn:00089663v, COMBINE MIX UNITE,434, , ,2, incorporate   � integrate
pb:swap.01, , NO EXAMPLE, Exchange or give (something) in exchange for, swap%2:40:00, bn:00094650v, REPLACE,154, , , , swap  � switch   � trade   � swop
pb:plunder.01, m, During the earthquake people looted the stores that were deserted by their owners, Steal goods; take as spoils, plunder%2:40:00, bn:00086690v, STEAL DEPRIVE,301, , iTheme (goods bn:00054416n),1, plunder  � loot  � pillage  � ransack  � rifle
pb:install.01, m, install the washer and dryer, Set up for use, install%2:35:00, bn:00089785v, MOUNT ASSEMBLE PRODUCE,483, , , x, instal  � install  � put in  � set up
pb:fry.01, , fry the pancakes, Cook on a hot surface using fat, fry%2:30:00, bn:00088607v, COOK,462, , iInstrument (fat bn:00033761n), x, fry
pb:remember.01, , "I cant remember saying any such thing", Recall knowledge from memory; have a recollection, remember%2:31:00, bn:00084413v, REMEMBER,76, , ,2, recall  � recollect  � remember  � call up  � retrieve
pb:bat.02, , bat the ball, Strike with or as if with a baseball bat, bat%2:35:01, bn:00083154v, HIT,92, , iInstrument (basebal bat bn:00008806n), x, bat
pb:imbue.01, m, soak the bandage with disinfectant, Fill soak or imbue totally, imbue%2:30:01, bn:00089592v, WET,142, , , x, soak  � imbue
pb:hurt.01, m, Our business was hurt by the new competition, Cause damage or affect negatively, hurt%2:30:04, bn:00089534v, WORSEN,432, , ,2, hurt   � injure
pb:savor.01, m, She relished her fame and basked in her glory, Derive or receive pleasure from; get enjoyment from; take pleasure in, savor%2:37:00, bn:00083145v, ENJOY,150, , , x, bask   � enjoy   � relish   � savour  � savor
pb:see.01, m, I want to see whether she speaks French, Find out learn or determine with certainty usually by making an inquiry or other effort, see%2:32:00, bn:00082813v, VERIFY,244, , ,2, determine   � ascertain   � check   � find out  � learn
pb:cloister.01, m, NO EXAMPLE, Surround with a cloister as of a garden, cloister%2:42:00, bn:00085156v, ENCLOSE WRAP,420, , Ico-theme (cloister bn:00019908n); theme (garden bn:00037300n), x, cloister
pb:wobble.01, m, His knees wobbled, Move unsteadily, wobble%2:38:00, bn:00085259v, MOVE ONESELF,30, , , x, coggle  � wobble
pb:escape.01, , If you see this man run!, "Flee; take to ones heels; cut and run", escape%2:38:02, bn:00083961v, LEAVE DEPART RUN AWAY,119, -source -destination, , , run away  � scarper   � break away  � escape  � fly the coop
pb:demand.01, m, It takes nerve to do what she did, Require as useful just or proper, demand%2:42:00, bn:00082822v, REQUIRE NEED WANT HOPE,32, , , , necessitate  � ask   � call for  � demand   � involve
pb:present.01, m, What will you give her for her birthday?, Give as a present; make a gift of, present%2:40:00, bn:00088803v, GIVE GIFT,189, , ,1, gift   � give   � present
pb:top.01, , The speech crowned the meeting, Be the culminating event, top%2:30:01, bn:00086095v, FINISH CONCLUDE END,429, , , , crown   � top
pb:decamp.01, , The hikers decamped before dawn, Leave a camp, decamp%2:38:02, bn:00083963v, LEAVE DEPART RUN AWAY,119, , iSource (camp bn:00010805n), x, decamp   � break camp
pb:begin.02, c, The DMZ begins right over the hill, Have a beginning in a temporal spatial or evaluative sense, begin%2:42:00, bn:00083341v, BEGIN,46, -theme, , , begin   � start
pb:dawn.02, c, The age of computers had dawned, Appear or develop, dawn%2:42:01, bn:00086307v, BEGIN,46, , ,2, dawn
pb:dust.02, , dust the cabinets, Remove the dust from, dust%2:35:00, bn:00087436v, WASH CLEAN,155, , iMaterial (dust bn:00029192n), x, dust
pb:tap.01, zc, He tapped me on the shoulder, Strike lightly, tip%2:35:04, bn:00094813v, HIT,92, , , x, tap   � tip
pb:pass.05, , hand me the spoon please, Place into the hands or custody of, pass%2:40:00, bn:00088825v, GIVE GIFT,189, , ,1, hand  � give  � reach  � pass   � pass on
pb:sheathe.01, m, sheathe her face, Cover with a protective sheathing, sheathe%2:35:01, bn:00093594v, COVER SPREAD SURMOUNT,249, , , x, sheathe
pb:herd.01, m, We herded the children into a spare classroom, Cause to herd drive or crowd together, herd%2:38:01, bn:00086090v, GROUP,321, , , x, crowd   � herd
pb:underestimate.01, m, he underestimated the work that went into the renovation, Make too low an estimate of, underestimate%2:31:01, bn:00095351v, SUBJECTIVE JUDGING,21, -attribute, ,2, underrate  � underestimate
pb:recompense.01, , My efforts were not remunerated, Make payment to; compensate, recompense%2:40:00, bn:00085466v, PAY,306, , , x, remunerate   � compensate   � recompense
pb:dump.01, , No dumping in these woods!, Throw away as refuse, dump%2:40:00, bn:00087422v, DISCARD,255, , itheme (refuse bn:00080543n),1, dump
pb:show.03, m, She shows her dogs frequently, Give an exhibition of to an interested audience, show%2:39:02, bn:00086557v, SHOW,162, , ,1, show  � present   � demo   � demonstrate   � exhibit
pb:spy.01, , NO EXAMPLE, Watch observe or inquire secretly, spy%2:32:01, bn:00093867v, SEE,521, , , , sleuth   � snoop  � spy   � stag
pb:notice.01, m, She detected high levels of lead in her drinking water, Discover or determine the existence presence or fact of, notice%2:39:04, bn:00086708v, FIND,33, , ,2, detect   � discover   � notice   � find   � observe
pb:shroud.01, m, The origins of this civilization are shrouded in mystery, Cover as if with a shroud, shroud%2:35:01, bn:00085918v, COVER SPREAD SURMOUNT,249, , , x, enshroud  � shroud  � cover   � hide
pb:bob.01, m, "She curtsied when she shook the Queens hand", Make a curtsy; usually done only by girls and women; as a sign of respect, bob%2:32:00, bn:00083719v, LOWER,355, -agent, , , curtsy  � bob
pb:empathize.01, , "You dont need to explain--I understand!", Be understanding of, empathize%2:31:00, bn:00087571v, UNDERSTAND,93, , , , empathize   � empathise  � sympathise  � sympathize  � understand
pb:chart.02, , chart the data, Represent by means of a graph, chart%2:36:04, bn:00084827v, REPRESENT,341, , iattribute (chart bn:00017904n), , chart  � graph
pb:warn.01, m, The old man warned the children off his property, Ask to go away, warn%2:32:03, bn:00095643v, ASK REQUEST,330, , ,2, warn
pb:forge.02, , hammer the silver into a bowl, Create by hammering, forge%2:36:00, bn:00088477v, MOUNT ASSEMBLE PRODUCE,483, , iInstrument (hammer bn:00042730n), x, forge   � hammer
pb:locate.02, zc, Our sense of sight enables us to locate objects in space, Determine or indicate the place site or limits of as if by an instrument or by a survey, situate%2:42:00, bn:00090424v, FIND,33, , ,1, locate   � situate
pb:understand.01, m, I understand you have no previous experience?, Believe to be the case, understand%2:31:02, bn:00089708v, BELIEVE,45, , , , infer  � understand
pb:smear.01, m, smear the wall with paint, Cover (a surface) by smearing (a substance) over it, smear%2:35:03, bn:00086304v, COVER SPREAD SURMOUNT,249, , , x, smear   � daub
pb:macerate.01, m, The treatment emaciated him, Cause to grow thin or weak, macerate%2:30:03, bn:00087539v, WEAKEN,445, , ,1, emaciate  � macerate   � waste
pb:finish.01, m, That finished me with Mary, Cause to finish a relationship with somebody, finish%2:30:03, bn:00088223v, FINISH CONCLUDE END,429, , , , finish
pb:clasp.01, , The child clasped my hands, Grasp firmly, clasp%2:35:01, bn:00085050v, CATCH,79, , , x, clasp
pb:embezzle.01, , The accountant embezzled thousands of dollars while working for the wealthy family, "Appropriate (as property entrusted to ones care) fraudulently to ones own use", embezzle%2:40:00, bn:00086444v, STEAL DEPRIVE,301, , ,2, embezzle   � misappropriate   � defalcate   � malversate  � peculate
pb:polish.01, , shine the silver please, Make (a surface) shine, polish%2:35:00, bn:00091821v, WASH CLEAN,155, , , x, polish  � shine  � smooth   � smoothen
pb:recognize.01, , The Crown Prince was acknowledged as the true heir to the throne, Accept (someone) to be what is claimed or accept his power and authority, recognize%2:31:02, bn:00082272v, ACCEPT,309, -agent, , , acknowledge  � know   � recognise  � recognize
pb:take.01, m, She always takes an umbrella, "Have with oneself; have on ones person", take%2:42:10, bn:00084555v, CARRY TRANSPORT,3, - source -destination, , , carry   � pack   � take
pb:fasten.01, , This dress fastens in the back, Become fixed or fastened, fasten%2:35:00, bn:00088053v, SECURE FASTEN TIE,206, -agent, , , fasten
pb:dash.01, m, Smash a plate, Break into pieces as by striking or knocking over, dash%2:30:00, bn:00086289v, DESTROY,134, , ,1, dash   � smash
pb:brush.01, m, He brushed the wall lightly, Touch lightly and briefly, brush%2:35:00, bn:00084155v, TOUCH,228, , , x, brush
pb:shunt.01, zz, NO EXAMPLE, Transfer to another track of trains, shunt%2:38:00, bn:00093703v, CARRY TRANSPORT,3, , iInstrument (freight train bn:00036423n); destination (track bn:00077838n) | (train bn:00066028n), , shunt
pb:clap.01, m, clap two boards together, Strike together so as to produce a sharp percussive noise, clap%2:35:00, bn:00085036v, HIT,92, , , x, clap
pb:draw.02, m, The participants in the experiment were drawn from a representative population, Select or take in from a given group or region, draw%2:31:13, bn:00087240v, CHOOSE,99, , ,2, draw
pb:zigzag.01, , The river zigzags through the countryside, Travel along a zigzag path, zigzag%2:38:00, bn:00085966v, TRAVEL,175, , , x, zigzag  � crank
pb:stuff.01, m, Have you stuffed the turkey yet?, Fill with a stuffing while cooking, stuff%2:30:00, bn:00088038v, FILL,421, , iTheme (stuffing bn:00028695n), x, farce   � stuff
pb:hurt.02, m, NO EXAMPLE, Be the source of pain, hurt%2:39:00, bn:00082264v, HURT HARM ACHE,431, , , x, ache  � smart  � hurt
pb:listen.01, m, Listen to the sound of this cello, Hear with intention, listen%2:39:00, bn:00090400v, HEAR LISTEN,94, , , xx, listen
pb:enliven.01, m, "lets liven up this room a bit", Make lively, enliven%2:30:00, bn:00082629v, AROUSE WAKE ENLIVEN,435, , ,1, animate   � enliven   � invigorate  � liven  � liven up
pb:grab.01, m, This story will grab you, Capture the attention or imagination of, grab%2:31:00, bn:00088999v, LIKE,344, , ,2, grab   � seize
pb:tow.01, , Horses used to tow barges along the canal, Drag behind, tow%2:35:00, bn:00095052v, PULL,391, , , x, tow
pb:carry.01, m, She always takes an umbrella, "Have with oneself; have on ones person", carry%2:42:01, bn:00084555v, CARRY TRANSPORT,3, - source -destination, , , carry   � pack   � take
pb:compensate.01, , My efforts were not remunerated, Make payment to; compensate, compensate%2:40:00, bn:00085466v, PAY,306, , , x, remunerate   � compensate   � recompense
pb:inspect.01, m, audit accounts and tax returns, Examine carefully for accuracy with the intent of verification, inspect%2:31:00, bn:00082924v, VERIFY,244, , ,2, scrutinize   � inspect  � audit  � scrutinise
pb:collapse.01, zc, The wall collapsed, Break down literally or metaphorically, give%2:38:13, bn:00083932v, BREAK DETERIORATE,58, -agent -instrument, , , break   � cave in  � collapse  � fall in  � founder
pb:carry.01, m, The jar carries wine, Contain or hold; have within, carry%2:42:03, bn:00083225v, CONTAIN,39, , , x, contain   � hold   � bear   � carry   �enclose
pb:write.01, m, Write her soon please!, Communicate (with) in writing, write%2:32:08, bn:00087382v, COMMUNICATE CONTACT,66, , iInstrument (writing bn:00021039n), x, drop a line  � write
pb:flick.01, zc, flick a piece of paper across the table, Throw or toss with a quick motion, jerk%2:35:00, bn:00088302v, THROW,234, , , x, jerk   � flick
pb:appear.01, m, He suddenly appeared at the wedding, Come into sight or view, appear%2:30:00, bn:00082691v, APPEAR,288, , ,1, appear
pb:smash.01, m, The teenager banged up the car of his mother, Damage or destroy as if by violence, smash%2:35:08, bn:00083084v, DESTROY,134, , ,1, bang up  � smash  � smash up
pb:feather.01, , NO EXAMPLE, Cover or fit with feathers, feather%2:35:00, bn:00088072v, COVER SPREAD SURMOUNT,249, , iCo-theme (feather bn:00033865n), x, feather
pb:stew.01, , Stew the vegetables in wine, Cook slowly and for a long time in liquid, stew%2:30:00, bn:00094350v, COOK,462, , iInstrument (liquid bn:00051471n), x, stew
pb:thrash.01, m, NO EXAMPLE, Beat the seeds out of a grain, thrash%2:35:01, bn:00094923v, HIT,92, , , x, thrash   � thresh
pb:interest.01, m, I worry about the second Germanic consonant shift, Be on the mind of, interest%2:42:01, bn:00085522v, THINK,96, , , x, concern  � interest   � worry   � occupy
pb:saturate.01, , NO EXAMPLE, Cause (a chemical compound vapour solution magnetic material) to unite with the greatest possible amount of another substance, saturate%2:30:01, bn:00093272v, COMBINE MIX UNITE,434, , , , saturate
pb:call.01, m, "He always addresses me with `Sir", Greet as with a prescribed form title or name, call%2:41:14, bn:00082337v, SPEAK,9, , , , call   � address
pb:transcribe.01, zz, NO EXAMPLE, Rewrite or arrange a piece of music for an instrument or medium other than that originally intended, transcribe%2:36:00, bn:00095080v, ADJUST CORRECT ,91, , patient (composition bn:00021408n), , transcribe
pb:draw.02, m, He drew great benefits from his membership in the association, Get or derive, draw%2:40:00, bn:00087235v, OBTAIN,290, , ,2, draw   � reap
pb:discharge.101, cm, discharge liquids, Pour forth or release, discharge%2:35:00, bn:00086907v, SPILL POUR,152, , , , discharge
pb:direct.01, m, conduct an orchestra, Lead as in the performance of a composition, direct%2:36:02, bn:00085566v, LEAD GOVERN,125, , ,1, conduct   � direct  � lead
pb:stray.01, zc, The child strayed from the path and her parents lost sight of her, Wander from a direct course or at random, drift%2:38:04, bn:00087308v, LEAVE DEPART RUN AWAY,119, , , x, stray   � drift   � err
pb:confiscate.01, , The FBI seized the drugs, Take temporary possession of as a security by legal authority, confiscate%2:40:01, bn:00082897v, REMOVE TAKE AWAY KIDNAPP,239, , , x, confiscate  � impound  � seize  � sequester  � attach
pb:group.01, m, Can you group these shapes together?, Arrange into a group or groups, group%2:31:00, bn:00089079v, SORT CLASSIFY ARRANGE,380, , ,2, group
